batting_team_Chennai Super Kings,batting_team_Delhi Capitals,batting_team_Kolkata Knight Riders,batting_team_Mumbai Indians,batting_team_Punjab Kings,batting_team_Rajasthan Royals,batting_team_Royal Challengers Bangalore,batting_team_Sunrisers Hyderabad,bowling_team_Chennai Super Kings,bowling_team_Delhi Capitals,bowling_team_Kolkata Knight Riders,bowling_team_Mumbai Indians,bowling_team_Punjab Kings,bowling_team_Rajasthan Royals,bowling_team_Royal Challengers Bangalore,bowling_team_Sunrisers Hyderabad,ball,score,wickets,momentum_score,momentum_wicket,target
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.1,38,2,36,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.2,39,2,37,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.3,45,2,43,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.4,47,2,44,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.5,47,2,43,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.6,53,2,45,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6.1,54,2,46,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6.2,58,2,49,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6.3,59,2,46,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6.4,60,2,46,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6.5,60,3,45,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6.6,60,3,44,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7.1,60,3,44,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7.2,60,3,44,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7.3,60,3,41,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7.4,60,4,39,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7.5,60,5,39,4,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7.6,60,5,39,4,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8.1,60,5,39,4,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8.2,60,5,38,4,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8.3,60,5,38,4,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8.4,61,5,35,4,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8.5,63,5,37,4,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8.6,63,5,37,4,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.1,63,5,33,4,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.2,64,5,30,4,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.3,68,5,34,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.4,68,5,34,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.5,68,5,34,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.6,68,5,30,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.1,68,5,30,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.2,69,5,30,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.3,73,5,28,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.4,73,5,26,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.5,77,5,30,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.6,77,5,24,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11.1,78,5,24,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11.2,79,5,21,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11.3,83,5,24,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11.4,83,5,23,3,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11.5,83,5,23,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11.6,83,5,23,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11.7,84,5,24,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12.1,88,5,28,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12.2,94,5,34,2,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12.3,98,5,38,1,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12.4,100,5,40,0,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12.5,102,5,42,0,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12.6,103,5,43,0,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.1,107,5,47,0,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.2,108,5,48,0,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.3,112,5,51,0,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.4,112,5,49,0,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.5,113,5,50,0,156
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.6,113,5,50,0,156
